Serial,date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,AQI, pm25, pm10, o3, no2, so2, co,wd,Year,Month
596,2015/8/23,26,23,0,8.2,5,56,23,27,27,25,26,89,90,1.9,1005,26,9,42,18,150,61,27,42,10,2,6,6,2015,8
597,2015/8/24,27,21,0,8.1,5,63,22,27,27,24,35,84,91,2.3,1002,27,10,103,21,162,72,44,69,14,6,7,0,2015,8
598,2015/8/25,30,20,0,13,6,71,21,26,26,24,28,38,82,0.4,1006,30,10,315,19,210,93,54,97,22,7,8,1,2015,8
599,2015/8/26,29,20,0,13,7,78,22,28,28,26,9,17,79,0.3,1009,29,10,252,6,280,114,87,107,31,8,9,2,2015,8
600,2015/8/27,30,22,0,13,6,85,22,30,30,27,9,17,75,0.1,1009,30,10,182,5,335,166,81,92,27,8,10,3,2015,8
601,2015/8/28,29,21,0,13,6,92,22,29,29,27,10,15,76,3.9,1009,29,10,121,6,332,162,72,79,13,5,9,4,2015,8
602,2015/8/29,30,22,0,12.9,7,100,22,29,29,27,11,14,75,0,1008,30,10,79,8,325,152,61,67,10,6,7,5,2015,8
603,2015/8/30,29,21,0,12.9,7,100,22,29,29,26,13,7,77,0,1009,29,10,99,9,315,139,49,55,11,4,7,6,2015,8
604,2015/8/31,29,21,0,12.9,7,89,22,29,29,26,14,18,79,0,1010,29,10,103,10,257,107,56,73,13,5,8,0,2015,8
605,2015/9/1,29,23,0,11.9,6,74,22,29,29,26,15,48,79,0.5,1009,29,9,128,10,280,114,68,95,17,6,10,1,2015,9
606,2015/9/2,29,23,0,12.9,6,66,22,30,30,27,11,36,73,0.6,1011,29,10,189,7,313,137,70,111,17,10,11,2,2015,9
607,2015/9/3,30,20,0,12.8,7,59,21,30,30,27,15,9,73,0,1014,30,10,236,10,323,150,69,109,11,6,10,3,2015,9
608,2015/9/4,29,22,0,12.8,6,51,22,30,30,27,20,23,75,1.5,1012,29,10,156,15,325,152,48,57,10,4,8,4,2015,9
609,2015/9/5,28,23,0,11.9,6,44,22,29,29,26,14,69,80,1.9,1011,28,9,108,10,247,104,42,52,8,7,7,5,2015,9
610,2015/9/6,28,23,0,12.8,6,36,22,29,29,26,15,61,81,0.6,1011,28,9,132,11,203,91,24,50,7,4,5,6,2015,9
611,2015/9/7,28,20,0,12.8,7,29,21,27,27,25,18,19,80,0.1,1010,28,10,108,13,138,50,24,52,8,4,5,0,2015,9
612,2015/9/8,28,21,0,12.8,7,21,20,27,27,25,20,25,74,0.2,1013,28,10,53,14,138,47,23,57,8,5,5,1,2015,9
613,2015/9/9,28,19,0,12.7,6,14,17,25,25,24,16,8,67,0,1015,28,10,38,11,125,42,27,65,11,6,4,2,2015,9
614,2015/9/10,28,18,0,12.7,6,6,17,25,25,24,14,8,67,0,1015,28,10,176,9,138,58,37,76,14,6,5,3,2015,9
615,2015/9/11,29,17,0,12.7,7,0,18,25,25,24,10,23,69,0,1013,29,10,124,6,162,71,49,35,11,9,7,4,2015,9
616,2015/9/12,22,17,0,11.9,5,0,17,20,21,20,20,50,81,1.3,1016,22,10,317,12,280,114,43,43,12,7,6,5,2015,9
617,2015/9/13,26,16,0,12.7,5,0,14,22,22,21,19,36,64,0,1019,26,10,107,12,193,88,33,47,12,5,6,6,2015,9
618,2015/9/14,26,18,0,11.9,5,1,17,24,24,23,12,48,69,0,1018,26,10,99,8,150,61,32,27,17,4,6,0,2015,9
619,2015/9/15,23,19,0,7.9,5,9,19,21,22,21,9,85,88,0.6,1017,23,7,248,6,138,67,29,37,12,5,5,1,2015,9
620,2015/9/16,26,19,0,12.6,5,16,19,24,24,23,28,54,78,10.4,1015,26,8,132,18,138,61,39,56,15,7,5,2,2015,9
621,2015/9/17,27,22,0,8.8,6,24,21,27,27,25,17,66,81,2.2,1012,27,9,141,12,153,76,44,55,14,6,5,3,2015,9
622,2015/9/18,27,21,0,8.8,5,32,20,27,27,25,19,60,79,0.5,1013,27,9,150,13,193,88,32,55,11,5,4,4,2015,9
623,2015/9/19,27,21,0,8.8,6,39,21,27,27,25,17,60,80,0.8,1012,27,9,188,12,138,63,47,54,14,6,5,5,2015,9
624,2015/9/20,27,21,0,8.8,5,47,21,27,27,24,19,57,82,2.6,1012,27,9,161,13,237,101,45,53,14,5,5,6,2015,9
625,2015/9/21,27,19,0,11.6,6,54,18,24,24,23,19,26,75,0,1013,27,10,75,13,223,97,41,39,17,5,6,0,2015,9
626,2015/9/22,27,21,0,7.4,5,62,20,26,26,24,20,75,80,0.2,1012,27,10,134,14,187,86,40,50,17,4,6,1,2015,9
627,2015/9/23,27,20,0,7.4,5,69,20,25,25,23,22,71,85,3.7,1008,27,9,277,15,197,89,29,40,12,5,6,2,2015,9
628,2015/9/24,27,20,0,6,5,77,20,24,24,23,16,80,84,0.8,1008,27,8,115,11,138,69,40,50,9,6,5,3,2015,9
629,2015/9/25,24,20,0,11.6,6,84,20,24,24,23,12,53,85,0,1008,24,10,59,8,163,79,45,56,6,6,5,4,2015,9
630,2015/9/26,27,19,0,11.6,6,92,19,25,25,24,19,13,78,0,1012,27,10,31,14,193,88,44,53,5,5,5,5,2015,9
631,2015/9/27,27,19,0,10.2,5,99,18,23,23,23,22,21,76,0,1013,27,10,29,15,170,81,42,53,6,5,6,6,2015,9
632,2015/9/28,26,19,0,6,5,100,19,25,25,23,30,71,80,0.8,1015,26,10,50,21,160,78,21,35,5,3,4,0,2015,9
633,2015/9/29,24,23,0,6,5,85,22,26,26,24,43,91,91,2.6,1016,24,10,73,27,150,35,26,24,5,3,6,1,2015,9
634,2015/9/30,29,25,0,6,6,78,24,30,30,27,30,76,86,0,1013,29,10,145,19,162,47,43,42,7,6,7,2,2015,9
635,2015/10/1,23,16,0,7.4,5,75,18,22,24,22,36,55,78,2.5,1013,23,10,283,24,177,83,69,63,11,9,7,3,2015,10
636,2015/10/2,24,14,0,11.6,6,68,14,22,23,22,15,4,61,0,1018,24,10,219,10,200,90,61,83,12,6,6,4,2015,10
637,2015/10/3,27,16,0,11.6,6,61,19,24,24,23,13,24,77,0,1020,27,10,134,8,230,99,39,61,13,4,5,5,2015,10
638,2015/10/4,25,19,0,8.8,5,53,17,22,22,21,18,66,80,1.9,1024,25,10,96,12,163,79,30,38,17,3,5,6,2015,10
639,2015/10/5,21,19,0,5.9,4,46,18,20,20,20,17,98,86,6.7,1022,21,10,68,11,143,73,26,54,15,4,5,0,2015,10
640,2015/10/6,23,19,0,5.9,5,39,17,21,22,21,19,74,78,0.2,1019,23,10,94,12,138,59,30,54,11,4,5,1,2015,10
641,2015/10/7,24,19,0,5.9,5,31,17,24,24,22,25,90,74,0,1014,24,10,125,17,125,58,28,39,11,4,4,2,2015,10
642,2015/10/8,21,18,0,7.3,4,24,17,20,21,20,22,79,86,2.2,1014,21,8,136,14,188,50,67,54,23,10,9,3,2015,10
643,2015/10/9,24,16,0,10.2,6,17,14,20,21,20,17,17,70,0,1015,24,10,306,11,319,145,71,53,28,13,8,4,2015,10
644,2015/10/10,24,14,0,5.9,5,10,10,19,19,19,22,68,57,0,1015,24,10,291,14,280,114,62,53,23,11,7,5,2015,10
645,2015/10/11,22,12,0,11.6,5,2,7,18,18,18,18,11,52,0,1021,22,10,226,12,250,105,84,70,42,11,11,6,2015,10
646,2015/10/12,23,12,0,11.6,5,0,8,20,20,20,8,2,46,0,1023,23,10,285,6,337,168,86,77,51,14,11,0,2015,10
647,2015/10/13,24,12,0,11.6,4,0,9,20,20,20,9,31,51,0,1023,24,10,199,5,341,173,110,38,58,11,12,1,2015,10
648,2015/10/14,24,13,0,11.6,6,5,11,20,21,20,12,14,60,0,1021,24,10,111,8,337,168,39,57,24,4,5,2,2015,10
649,2015/10/15,25,15,0,11.6,6,12,16,23,24,23,11,0,68,0,1019,25,10,122,9,180,84,46,60,23,6,5,3,2015,10
650,2015/10/16,25,15,0,11.6,6,19,18,23,24,23,11,1,72,0,1019,25,10,88,9,247,104,39,45,24,7,5,4,2015,10
651,2015/10/17,25,15,0,11.6,6,27,16,23,23,23,13,0,67,0,1020,25,10,68,10,187,86,46,64,18,6,5,5,2015,10
652,2015/10/18,24,15,0,11.6,6,34,16,21,22,21,14,10,74,0,1019,24,10,69,10,260,108,46,60,17,7,4,6,2015,10
653,2015/10/19,24,15,0,11.6,6,41,14,20,21,20,16,34,71,0,1016,24,10,69,10,253,106,49,55,21,7,4,0,2015,10
654,2015/10/20,24,16,0,8.6,5,48,16,21,22,21,16,51,78,0.2,1015,24,10,80,11,233,100,52,66,19,6,6,1,2015,10
655,2015/10/21,25,17,0,8.7,6,56,18,23,24,23,15,7,76,0,1017,25,10,70,12,263,109,74,82,20,7,7,2,2015,10
656,2015/10/22,26,18,0,8.7,5,63,18,22,22,22,17,30,80,0,1018,26,9,69,12,331,160,57,50,19,7,6,3,2015,10
657,2015/10/23,25,17,0,8.7,6,70,18,24,24,22,14,27,79,0,1018,25,9,78,11,297,119,57,44,18,7,6,4,2015,10
658,2015/10/24,22,17,0,7.2,5,77,17,21,23,21,17,45,77,0.1,1019,22,10,110,13,293,118,54,43,16,7,7,5,2015,10
659,2015/10/26,26,18,0,8.7,6,92,18,23,23,22,21,27,78,0,1017,26,10,154,15,290,117,59,56,19,6,6,0,2015,10
660,2015/10/27,21,14,0,8.7,4,99,11,18,18,18,27,36,63,0,1019,21,10,322,20,287,116,69,32,22,10,10,1,2015,10
661,2015/10/28,20,11,0,8.7,5,100,6,17,18,17,10,27,48,0,1022,20,10,96,6,326,154,83,33,31,12,8,2,2015,10
662,2015/10/29,17,15,0,4.1,4,86,13,17,17,17,20,95,80,10.3,1022,17,9,40,13,322,148,48,32,21,7,6,3,2015,10
663,2015/10/30,19,14,0,7.2,4,79,11,16,17,16,28,61,69,0.1,1027,19,10,101,19,263,109,40,38,13,7,5,4,2015,10
664,2015/10/31,18,14,0,7.2,4,75,8,16,16,16,20,64,60,0,1030,18,10,104,15,207,92,31,37,11,7,5,5,2015,10
665,2015/11/1,14,10,0,5.6,3,59,10,12,13,12,16,63,80,4.1,1026,14,10,308,11,162,73,35,24,15,7,7,6,2015,11
666,2015/11/2,18,9,0,8.7,4,52,7,15,16,15,14,1,55,0,1026,18,10,239,11,237,101,88,49,19,20,12,0,2015,11
667,2015/11/3,20,10,0,8.7,5,44,11,18,18,18,17,16,65,0,1026,20,10,101,12,346,180,76,45,27,12,12,1,2015,11
668,2015/11/4,19,15,0,4.1,4,37,16,18,18,18,21,76,85,0.7,1024,19,8,131,13,334,164,46,20,19,7,7,2,2015,11
669,2015/11/5,24,18,0,7.2,5,29,18,21,21,21,16,75,85,1,1021,24,8,139,11,240,102,47,25,14,9,7,3,2015,11
670,2015/11/6,26,19,0,8.7,5,22,19,24,24,22,33,59,88,0,1018,26,10,146,22,253,106,37,30,11,7,5,4,2015,11
671,2015/11/7,25,16,0,4.1,5,14,18,23,23,21,26,80,82,0.3,1017,25,10,257,18,188,73,46,16,10,8,9,5,2015,11
672,2015/11/8,18,14,0,4.1,4,6,11,15,15,15,23,96,77,0.9,1021,18,8,313,18,300,106,71,4,15,12,17,6,2015,11
673,2015/11/9,15,11,0,5.6,3,0,9,12,13,12,26,57,75,1.1,1024,15,10,328,20,333,163,68,13,17,8,11,0,2015,11
674,2015/11/10,16,9,0,7.2,3,0,8,13,14,13,18,48,70,0,1026,16,10,134,13,334,164,54,34,18,7,7,1,2015,11
675,2015/11/11,18,13,0,7.1,4,0,10,15,15,15,18,61,69,0.1,1026,18,10,81,13,310,133,49,36,19,4,5,2,2015,11
676,2015/11/12,17,14,0,3.9,4,1,13,16,16,16,8,87,84,0,1023,17,9,88,6,243,103,57,18,40,5,8,3,2015,11
677,2015/11/13,17,13,0,5.5,4,8,13,15,15,15,22,80,86,2.1,1018,17,9,265,16,319,145,52,14,30,4,8,4,2015,11
678,2015/11/14,18,13,0,5.5,4,16,11,15,15,15,16,41,74,0,1019,18,10,303,12,318,143,95,50,30,10,11,5,2015,11
679,2015/11/15,20,12,0,8.7,5,24,13,17,17,17,17,23,74,0,1019,20,10,116,12,351,186,91,44,41,10,13,6,2015,11
680,2015/11/16,21,16,0,3.9,4,31,16,18,18,18,23,89,88,4.5,1016,21,10,179,15,345,178,71,28,32,6,11,0,2015,11
681,2015/11/17,17,15,0,3.9,4,39,15,17,17,17,24,100,91,15.9,1017,17,9,34,17,324,151,39,30,23,4,8,1,2015,11
682,2015/11/18,17,14,0,3.9,4,46,14,16,16,16,25,98,85,1.8,1020,17,10,99,17,210,93,39,32,18,4,9,2,2015,11
683,2015/11/19,14,14,0,3.9,3,54,11,14,14,14,12,99,84,0.5,1023,14,9,22,9,180,84,41,27,27,6,5,3,2015,11
684,2015/11/20,15,14,0,3.9,3,61,13,15,15,15,15,99,88,1.7,1023,15,8,31,10,223,97,49,22,32,7,6,4,2015,11
685,2015/11/21,17,15,0,3.9,4,69,16,17,17,17,19,100,94,8.1,1024,17,8,74,13,293,118,33,26,29,4,8,5,2015,11
686,2015/11/22,19,17,0,3.9,4,76,16,18,18,18,20,94,92,5.8,1023,19,8,79,13,214,86,41,33,22,5,11,6,2015,11
687,2015/11/23,17,15,0,3.8,4,84,15,16,17,16,23,88,90,1.3,1023,17,9,165,16,200,90,37,26,24,5,9,0,2015,11
688,2015/11/24,14,11,0,3.8,3,91,11,12,14,12,32,99,84,0,1024,14,10,75,22,227,98,29,28,13,4,6,1,2015,11
689,2015/11/25,8,5,0,5.5,2,99,3,3,7,3,36,86,78,1.5,1026,8,10,312,27,160,78,33,25,15,5,5,2,2015,11
690,2015/11/26,5,0,0,8.7,2,100,-5,-3,3,-3,35,18,58,0,1029,5,10,306,27,220,96,54,23,14,11,7,3,2015,11
691,2015/11/27,6,-1,0,7.1,1,86,-6,2,4,2,11,31,48,0,1030,6,10,213,9,320,146,44,21,28,10,8,4,2015,11
692,2015/11/28,14,6,0,7.1,3,78,2,10,11,10,10,67,57,0.2,1028,14,9,180,6,300,120,69,20,50,11,9,5,2015,11
693,2015/11/29,13,9,0,3.8,3,71,10,12,12,12,5,93,87,2.1,1026,13,9,158,4,324,151,71,4,45,6,12,6,2015,11
694,2015/11/30,16,10,0,7.1,3,63,11,13,14,13,11,29,81,0,1025,16,10,91,8,329,158,97,28,54,14,16,0,2015,11
695,2015/12/1,17,12,0,3.8,3,61,11,14,14,14,24,57,82,0,1022,17,10,113,15,348,183,63,32,36,7,8,1,2015,12
696,2015/12/2,13,8,0,5.4,3,54,8,11,13,11,28,76,76,3.3,1021,13,10,295,18,312,135,70,15,22,10,9,2,2015,12
697,2015/12/3,13,6,0,8.7,3,46,-1,8,10,8,26,8,48,0,1026,13,10,298,19,326,154,88,23,18,14,7,3,2015,12
698,2015/12/4,10,4,0,8.7,3,39,-5,6,8,6,17,22,42,0,1029,10,10,327,11,314,138,61,18,20,16,8,4,2015,12
699,2015/12/5,7,4,0,3.8,2,32,-1,5,6,5,7,97,63,4.6,1029,7,9,260,5,305,127,76,6,36,15,11,5,2015,12
700,2015/12/6,11,4,0,8.7,2,25,3,6,8,6,15,49,72,1.9,1030,11,10,294,12,325,152,73,7,30,14,13,6,2015,12
701,2015/12/7,13,6,0,8.7,3,17,7,11,12,11,13,1,72,0,1031,13,10,144,11,341,173,64,28,27,11,11,0,2015,12
702,2015/12/8,14,7,0,5.4,3,10,7,12,12,12,15,35,72,0,1031,14,10,69,11,320,146,37,29,22,7,6,1,2015,12
703,2015/12/9,16,10,0,3.8,3,3,11,12,13,12,19,81,86,1.4,1024,16,8,92,12,217,95,47,12,34,6,7,2,2015,12
704,2015/12/10,13,11,0,3.8,3,0,11,11,12,11,28,97,93,5.4,1017,13,9,305,19,263,109,40,15,23,5,11,3,2015,12
705,2015/12/11,11,6,0,5.4,2,0,7,8,10,8,23,68,82,0.2,1022,11,9,299,17,273,112,63,23,12,7,8,4,2015,12
706,2015/12/12,12,5,0,8.7,3,4,7,10,11,10,10,9,77,0,1024,12,10,196,8,317,142,53,22,26,9,7,5,2015,12
707,2015/12/13,10,7,0,3.8,2,12,7,7,9,7,15,94,89,1,1023,10,8,213,11,309,132,65,14,25,8,8,6,2015,12
708,2015/12/14,9,6,0,7.1,2,19,3,5,8,5,22,58,74,0,1024,9,10,300,15,320,146,107,22,32,18,12,0,2015,12
709,2015/12/15,10,5,0,8.7,3,26,0,5,8,5,20,32,61,0,1026,10,10,310,14,365,205,136,16,37,33,19,1,2015,12
710,2015/12/16,7,2,0,8.7,3,33,-5,1,5,1,29,4,48,0,1030,7,10,319,21,417,272,63,20,23,18,8,2,2015,12
711,2015/12/17,5,0,0,8.7,2,41,-8,0,4,0,19,0,43,0,1034,5,10,320,16,322,148,45,19,16,13,7,3,2015,12
712,2015/12/18,3,1,0,8.7,2,48,-6,1,4,1,14,19,48,0,1033,3,10,309,10,304,125,50,15,36,10,8,4,2015,12
713,2015/12/19,11,5,0,5.4,2,55,2,7,9,7,18,37,63,0,1027,11,10,195,12,313,137,37,26,35,8,7,5,2015,12
714,2015/12/20,11,6,0,5.4,2,62,3,7,9,7,21,59,68,0.8,1026,11,9,189,15,260,108,41,11,33,6,8,6,2015,12
715,2015/12/21,9,6,0,8.7,3,70,5,7,8,7,12,48,81,0.2,1028,9,10,151,9,293,118,95,15,36,11,14,0,2015,12
716,2015/12/22,16,10,0,7.1,3,77,10,12,13,12,14,70,83,2.9,1024,16,10,179,9,359,197,73,6,38,9,11,1,2015,12
717,2015/12/23,12,9,0,3.8,3,84,9,9,11,9,18,83,89,0,1022,12,10,204,13,336,167,124,8,37,13,18,2,2015,12
718,2015/12/24,10,8,0,3.8,2,92,8,8,10,8,21,98,89,3.1,1023,10,8,107,15,395,244,51,23,27,7,8,3,2015,12
719,2015/12/25,11,6,0,8.7,3,99,6,7,9,7,17,25,78,0,1026,11,10,293,13,314,138,112,29,33,15,14,4,2015,12
720,2015/12/26,13,5,0,8.7,3,100,6,11,12,11,12,3,67,0,1024,13,10,210,10,379,223,87,19,42,14,13,5,2015,12
721,2015/12/27,11,5,0,3.9,2,87,4,6,8,6,23,68,76,0.1,1030,11,10,64,16,343,176,64,29,28,10,9,6,2015,12
722,2015/12/28,8,3,0,8.7,3,79,1,4,7,4,18,26,68,0,1034,8,10,307,14,320,146,38,27,8,6,5,0,2015,12
723,2015/12/29,9,5,0,7.1,2,72,2,5,8,5,20,57,68,0.3,1026,9,10,214,14,267,110,60,27,24,9,7,1,2015,12
724,2015/12/30,12,4,0,8.7,3,65,5,10,11,10,8,15,71,0,1030,12,10,244,6,319,145,73,22,42,12,11,2,2015,12
725,2015/12/31,10,4,0,8.7,3,61,3,7,9,7,15,4,68,0,1034,10,10,227,12,327,155,100,33,28,14,11,3,2015,12
729,2016/3/15,12,3,0,10.2,2,44,2,6,9,6,21,41,64,0,1022,12,10,105,15,320,146,47,43,15,7,4,1,2016,3
730,2016/3/16,17,9,0,11.6,4,51,7,12,13,12,15,18,69,0,1019,17,10,123,11,273,112,52,37,24,7,4,2,2016,3
731,2016/3/17,17,9,0,7.4,3,58,12,13,14,13,21,63,89,0.1,1016,17,8,124,14,290,117,47,29,23,5,4,3,2016,3
732,2016/3/18,19,13,0,6,4,65,14,16,16,16,9,89,86,0,1012,19,8,177,6,270,111,78,20,41,10,9,4,2016,3
733,2016/3/19,16,9,0,10.3,3,73,11,13,13,13,14,68,88,0.2,1018,16,7,49,10,334,164,38,25,25,6,5,5,2016,3
734,2016/3/20,17,7,0,10.5,3,80,6,11,12,11,19,41,67,0,1022,17,10,56,14,280,114,59,46,25,8,5,6,2016,3
735,2016/3/21,15,7,0,12.5,4,87,7,10,11,10,18,37,74,0,1022,15,10,76,13,315,139,58,46,17,7,5,0,2016,3
736,2016/3/22,12,9,0,9.2,3,94,9,10,11,10,21,76,83,0.3,1019,12,9,112,14,316,141,46,38,21,6,4,1,2016,3
737,2016/3/23,14,6,0,12.5,3,100,5,8,10,8,30,55,69,0.1,1023,14,10,26,21,283,115,46,49,11,6,4,2,2016,3
738,2016/3/24,11,5,0,11.8,2,100,-1,5,8,5,26,52,55,0,1029,11,10,178,19,253,106,40,42,6,6,2,3,2016,3
739,2016/3/25,14,5,0,11.8,3,84,-1,7,9,7,18,57,51,0,1028,14,10,181,13,163,79,49,52,13,9,3,4,2016,3
740,2016/3/26,15,2,0,11.8,3,76,-2,9,10,9,12,45,45,0,1026,15,10,256,7,247,104,58,54,26,9,4,5,2016,3
741,2016/3/27,17,5,0,12.6,4,69,1,11,12,11,24,6,49,0,1025,17,10,285,17,341,173,90,75,38,13,6,6,2016,3
742,2016/3/28,19,7,0,12.6,5,62,3,13,14,13,27,4,48,0,1024,19,10,196,18,335,166,75,57,35,10,5,0,2016,3
743,2016/3/29,23,10,0,12.7,4,55,6,16,17,16,20,49,50,0,1020,23,10,191,13,325,152,93,44,46,12,7,1,2016,3
744,2016/3/30,20,13,0,9.2,4,47,9,16,17,16,16,84,61,0.1,1020,20,10,205,11,328,157,54,38,31,5,5,2,2016,3
745,2016/3/31,16,11,0,9.2,3,43,11,13,14,13,10,74,85,0.3,1016,16,10,98,7,310,133,74,70,29,6,6,3,2016,3
746,2016/4/1,20,10,0,12.7,5,26,12,16,17,16,20,6,76,0,1015,20,10,145,15,336,167,58,45,24,5,5,4,2016,4
747,2016/4/2,20,12,0,10.6,4,19,14,16,16,16,26,58,84,0,1014,20,9,141,18,319,145,54,41,22,5,6,5,2016,4
748,2016/4/3,16,12,0,8,3,11,14,14,15,14,23,100,94,3.3,1013,16,6,275,16,315,140,41,41,16,7,4,6,2016,4
749,2016/4/4,18,10,0,12.8,3,4,8,13,14,13,18,65,69,0,1016,18,10,97,13,193,88,43,32,20,7,3,0,2016,4
750,2016/4/5,18,12,0,10.6,4,0,10,14,15,14,21,75,75,0,1016,18,10,115,15,167,80,37,29,24,5,5,1,2016,4
751,2016/4/6,21,13,0,9.3,4,0,16,17,17,17,27,75,90,1.7,1009,21,10,161,19,227,98,59,17,31,6,9,2,2016,4
752,2016/4/7,18,11,0,10.6,3,0,13,14,15,14,16,67,87,8.2,1013,18,10,243,11,315,140,48,35,32,6,5,3,2016,4
753,2016/4/8,21,12,0,12.8,5,3,14,18,18,18,13,11,79,0,1017,21,10,120,10,301,121,52,48,30,6,5,4,2016,4
754,2016/4/9,22,13,0,11.9,4,11,12,16,17,16,16,57,77,0,1014,22,10,133,11,283,115,66,33,30,7,5,5,2016,4
755,2016/4/10,21,11,0,12.9,4,19,11,17,17,17,13,39,71,0,1013,21,10,85,9,326,154,49,41,23,6,4,6,2016,4
756,2016/4/11,20,11,0,9.3,4,26,10,15,15,15,19,69,70,0,1017,20,10,86,13,300,120,58,35,24,5,5,0,2016,4
757,2016/4/12,18,13,0,10.6,4,34,14,15,16,15,22,72,90,1.9,1011,18,6,132,14,306,128,80,61,35,7,8,1,2016,4
758,2016/4/13,17,11,0,12.9,4,41,10,14,15,14,20,64,76,0.2,1015,17,9,173,14,333,163,101,73,29,6,7,2,2016,4
759,2016/4/14,19,11,0,11.9,4,49,11,15,16,15,18,61,76,0.5,1016,19,10,156,13,347,181,80,53,30,7,4,3,2016,4
760,2016/4/15,21,11,0,11.9,4,56,12,16,17,16,18,56,75,0.5,1015,21,9,156,12,319,145,49,42,20,5,4,4,2016,4
761,2016/4/16,19,12,0,13,4,64,11,15,16,15,18,60,73,0.2,1015,19,9,121,12,207,92,60,51,17,8,6,5,2016,4
762,2016/4/17,20,12,0,11.9,4,71,11,16,17,16,18,49,73,0.2,1014,20,10,138,13,309,132,43,58,21,6,2,6,2016,4
763,2016/4/18,21,12,0,12,4,79,12,17,17,17,22,56,75,0.2,1014,21,9,134,15,177,83,50,57,20,5,2,0,2016,4
764,2016/4/19,20,13,0,10.7,4,87,12,17,17,17,23,57,76,0.8,1013,20,9,151,16,190,87,42,42,21,5,4,1,2016,4
765,2016/4/20,19,13,0,13.1,4,94,12,15,16,15,24,64,81,1.3,1013,19,9,188,16,162,77,57,80,28,6,7,2,2016,4
766,2016/4/21,23,14,0,12,5,100,15,19,20,19,19,54,79,0.3,1011,23,10,264,14,283,115,94,109,41,9,10,3,2016,4
767,2016/4/22,25,15,0,12,5,100,16,23,23,22,18,36,69,0.1,1011,25,10,175,13,335,166,40,68,16,4,5,4,2016,4
768,2016/4/23,16,14,0,8.2,3,83,13,14,15,14,31,96,90,12.9,1011,16,8,83,21,287,116,57,59,20,6,5,5,2016,4
769,2016/4/24,20,14,0,10.7,4,76,12,16,16,16,21,80,79,0.6,1014,20,9,70,14,305,126,72,39,28,5,5,6,2016,4
770,2016/4/25,16,13,0,8.2,3,68,11,14,15,14,20,92,77,1.3,1016,16,9,92,14,302,122,51,33,26,5,5,0,2016,4
771,2016/4/26,18,14,0,8.2,4,61,14,16,16,16,18,90,86,0,1012,18,8,86,13,290,117,49,44,20,6,6,1,2016,4
772,2016/4/27,17,14,0,8.2,4,53,13,15,15,15,26,98,87,0.1,1009,17,10,305,19,306,128,81,80,21,10,10,2,2016,4
773,2016/4/28,23,12,0,13.2,4,46,12,17,18,17,23,39,73,0.1,1014,23,10,240,17,338,170,102,101,40,14,11,3,2016,4
774,2016/4/29,26,12,0,13.2,6,38,12,23,23,23,11,1,54,0,1016,26,10,218,7,348,183,77,104,25,9,6,4,2016,4
775,2016/4/30,26,15,0,13.2,6,30,11,21,21,21,30,5,55,0,1012,26,10,160,19,320,146,65,82,16,6,6,5,2016,4
776,2016/5/1,27,16,0,13.2,6,29,15,23,23,23,28,9,65,0,1010,27,10,159,19,309,132,45,41,14,5,5,6,2016,5
777,2016/5/2,26,19,0,13.3,5,22,19,24,24,22,30,47,83,4.7,1006,26,10,170,21,250,105,55,64,14,6,4,0,2016,5
778,2016/5/3,25,17,0,13.3,6,15,12,21,22,21,39,16,59,0.3,1009,25,10,281,28,237,101,87,90,31,10,6,1,2016,5
779,2016/5/4,28,16,0,13.3,6,8,14,24,24,24,23,7,59,0,1012,28,10,164,15,304,125,61,33,20,5,5,2,2016,5
780,2016/5/5,25,20,0,10.8,5,0,21,25,25,23,23,65,88,0.5,1008,25,9,176,15,247,104,64,83,21,7,7,3,2016,5
781,2016/5/6,30,19,0,13.3,6,0,20,25,25,24,20,46,78,0,1009,30,9,202,15,316,141,164,49,15,5,4,4,2016,5
782,2016/5/7,20,14,0,8.3,4,0,13,17,17,17,25,90,79,2.5,1015,20,8,75,18,323,150,61,41,16,5,4,5,2016,5
783,2016/5/8,17,15,0,8.3,4,7,13,16,16,16,16,99,84,1.1,1014,17,10,67,11,200,90,48,29,22,4,5,6,2016,5
784,2016/5/9,20,14,0,8.4,4,14,15,18,18,18,11,99,87,0,1011,20,9,57,8,306,128,30,36,15,4,4,0,2016,5
785,2016/5/10,18,14,0,10.8,4,21,14,17,17,17,19,74,85,8.3,1010,18,8,291,15,188,83,79,112,28,9,9,1,2016,5
786,2016/5/11,26,13,0,13.4,6,29,15,21,22,21,16,3,72,0,1012,26,10,200,10,332,162,69,96,16,6,8,2,2016,5
787,2016/5/12,26,15,0,13.4,6,36,17,23,23,22,20,0,77,0,1011,26,10,149,15,312,135,72,66,16,5,7,3,2016,5
788,2016/5/13,20,16,0,8.4,4,43,16,19,19,19,19,73,87,0,1019,20,10,89,14,328,157,48,45,13,4,5,4,2016,5
789,2016/5/14,23,17,0,13.4,6,50,17,20,21,20,27,40,84,0,1018,23,10,133,19,243,103,37,26,16,5,7,5,2016,5
790,2016/5/15,24,14,0,9.8,4,58,17,19,19,19,27,71,87,5.6,1013,24,10,267,19,213,94,52,69,17,7,7,6,2016,5
